Acct ID,Symbol,,Trade Date/Time,Settle Date,Exchange,Type,Quantity,Price,Proceeds,Comm,Fee,Code
Stocks,,,,,,,,,,,,
USD,,,,,,,,,,,,
U2101073,A,,"2018-02-06, 15:47:00",2018-02-08,-,BUY,48,68.51,"-3,288.48",-1,0,
U2101073,A,,"2018-02-12, 10:57:18",2018-02-14,-,BUY,49,67.979,"-3,330.97",-1,0,
U2101073,A,,"2018-03-02, 15:57:38",2018-03-06,-,BUY,49,67.6293,"-3,313.84",-1,0,D
Total A (Bought),,,,,,,146,68.0362103,"-9,933.29",-3,0,
U2101073,A,,"2018-02-08, 12:54:00",2018-02-12,-,SELL,-48,66.19,"3,177.12",-1.08,0,
U2101073,A,,"2018-02-15, 09:34:32",2018-02-20,-,SELL,-49,73.99,"3,625.51",-1.09,0,D
U2101073,A,,"2018-03-09, 10:10:57",2018-03-13,-,SELL,-49,70.7211,"3,465.33",-1.09,0,
Total A (Sold),,,,,,,-146,70.3285199,"10,267.96",-3.25,0,
Total A,,,,,,,0,,334.68,-6.25,0,
U2101073,AAPL,,"2017-12-27, 11:04:51",2017-12-29,-,BUY,5,170.07,-850.35,-1,0,
U2101073,AAPL,,"2018-01-24, 15:36:29",2018-01-26,-,BUY,11,174.37,"-1,918.07",-1,0,
U2101073,AAPL,,"2018-01-29, 15:51:19",2018-01-31,-,BUY,11,168.1489,"-1,849.64",-1,0,
Total AAPL (Bought),,,,,,,27,171.0391815,"-4,618.06",-3,0,
U2101073,AAPL,,"2018-01-08, 10:47:08",2018-01-10,-,SELL,-5,174.9,874.5,-1.02,0,
U2101073,AAPL,,"2018-01-30, 09:30:07",2018-02-01,-,SELL,-11,165.2,"1,817.20",-1.04,0,
U2101073,AAPL,,"2018-02-05, 09:30:06",2018-02-07,-,SELL,-11,158.55,"1,744.05",-1.04,0,
Total AAPL (Sold),,,,,,,-27,164.287037,"4,435.75",-3.11,0,
Total AAPL,,,,,,,0,,-182.31,-6.11,0,
U2101073,ADS,,"2018-01-26, 15:42:16",2018-01-30,-,BUY,12,262.71,"-3,152.52",-1,0,
Total ADS (Bought),,,,,,,12,262.71,"-3,152.52",-1,0,
U2101073,ADS,,"2018-02-02, 15:33:29",2018-02-06,-,SELL,-12,250.57,"3,006.84",-1.07,0,D
Total ADS (Sold),,,,,,,-12,250.57,"3,006.84",-1.07,0,
Total ADS,,,,,,,0,,-145.68,-2.07,0,
U2101073,ALL,,"2018-01-26, 15:34:51",2018-01-30,-,BUY,33,100.42,"-3,313.86",-1,0,
Total ALL (Bought),,,,,,,33,100.42,"-3,313.86",-1,0,
U2101073,ALL,,"2018-02-02, 15:33:50",2018-02-06,-,SELL,-33,98.2521,"3,242.32",-1.08,0,D
Total ALL (Sold),,,,,,,-33,98.2521,"3,242.32",-1.08,0,
Total ALL,,,,,,,0,,-71.54,-2.08,0,
U2101073,AMP,,"2018-01-25, 15:48:57",2018-01-29,-,BUY,22,172.9,"-3,803.80",-1,0,
